vertice,x,y
0,642740.683,7858954.496
1,643803.175,7857215.432
2,644360.173,7856565.153
3,644984.530,7854915.984
4,645572.332,7853336.557
5,646297.565,7851188.691
6,646748.120,7851349.042
7,650306.632,7846657.705
8,649835.268,7845047.077
9,650073.900,7844024.485
10,650245.151,7843209.461
11,649980.381,7841855.041
12,649916.459,7840407.856
13,650195.093,7839674.387
14,650663.501,7838102.315
15,650827.799,7837473.601
16,650588.643,7835780.500
17,649932.902,7836396.415
18,649463.932,7836895.548
19,649159.141,7837461.097
20,648794.966,7837440.502
21,648603.347,7837155.091
22,648455.879,7836277.776
23,648256.652,7835986.544
24,647876.780,7836115.707
25,647778.831,7837221.248
26,647860.758,7837587.349
27,647912.885,7838066.734
28,647985.743,7839502.496
29,647835.171,7840073.013
30,647501.362,7840492.342
31,647160.819,7839952.798
32,647006.317,7839597.984
33,646205.878,7838988.430
34,645515.951,7839061.950
35,645135.862,7838649.275
36,644907.598,7837907.414
37,645339.198,7837104.353
38,645407.075,7836230.753
39,645250.771,7835536.538
40,645126.746,7835129.023
41,644579.515,7835091.130
42,644228.085,7835587.462
43,644329.082,7836117.058
44,643815.219,7836411.585
45,643517.592,7837048.594
46,643357.698,7837782.438
47,643376.528,7839563.947
48,642872.362,7839886.605
49,642362.345,7840663.628
50,641658.917,7841249.461
51,641622.566,7841479.683
52,641045.223,7842499.137
53,640680.607,7843453.952
54,640870.862,7844064.404
55,641548.487,7844511.716
56,641916.866,7844039.457
57,642158.709,7843667.147
58,642588.791,7843471.504
59,642716.297,7843314.705
60,642610.842,7843160.406
61,642549.478,7842877.970
62,642939.361,7843002.876
63,643050.640,7843375.410
64,643085.371,7843611.352
65,642789.080,7843612.821
66,642469.071,7843802.173
67,642414.057,7843961.844
68,642240.689,7844127.831
69,642437.330,7844375.700
70,642429.152,7844532.782
71,642147.130,7844433.571
72,642076.406,7844499.258
73,642165.283,7844588.520
74,642002.392,7844665.823
75,641855.063,7844585.708
76,641682.294,7844690.943
77,641741.766,7844923.923
78,642095.334,7845204.750
79,642727.052,7845389.751
80,643332.170,7845897.290
81,643792.642,7846723.926
82,644283.539,7847277.493
83,644388.575,7847678.676
84,644234.293,7848051.701
85,644486.832,7848417.831
86,644400.738,7849704.123
87,644754.034,7849647.109
88,645303.475,7849155.016
89,645491.041,7849113.570
90,645581.142,7849259.426
91,645425.650,7850050.992
92,645380.667,7850624.497
93,645402.731,7851036.585
94,645159.681,7851493.967
95,644528.120,7851761.131
96,644409.162,7852257.908
97,643774.628,7852493.602
98,643428.575,7851931.445
99,643052.923,7852070.955
100,642996.725,7852590.989
101,643030.602,7852927.306
102,643301.236,7853582.833
103,643751.078,7853902.434
104,643981.217,7854330.143
105,644179.509,7854649.967
106,644267.415,7854968.591
107,643921.530,7855219.614
108,643642.893,7855953.817
109,642879.753,7856594.565
110,642648.359,7858008.423
111,642637.385,7858838.919
0,642740.683,7858954.496
