vertice,x,y
0,619556.076,7890116.203
1,620195.512,7889224.990
2,620063.083,7889157.061
3,619900.540,7889148.112
4,619654.069,7889166.331
5,619591.967,7889019.085
6,619585.346,7888832.082
7,619643.224,7888567.847
8,619656.328,7888243.503
9,619778.584,7887994.661
10,619836.069,7887978.781
11,619880.241,7887910.370
12,619827.228,7887684.238
13,619830.627,7887500.537
14,619669.730,7887289.575
15,619645.565,7887168.076
16,619518.904,7887018.216
17,619530.780,7886851.392
18,619794.781,7886655.556
19,619895.826,7886537.830
20,620094.697,7886564.457
21,620120.688,7886473.418
22,620235.132,7886368.641
23,620359.769,7886095.733
24,620318.305,7886033.183
25,620369.628,7885907.164
26,620486.246,7885783.356
27,620448.847,7885616.689
28,620591.805,7885359.316
29,620506.237,7885231.218
30,620542.931,7884620.666
31,620519.896,7884561.405
32,620507.090,7884333.746
33,620475.900,7884226.283
34,620563.379,7883644.981
35,620493.105,7883464.007
36,620714.022,7883276.620
37,620807.704,7883092.615
38,620779.852,7882986.555
39,620833.747,7882716.647
40,620891.312,7882710.263
41,620939.061,7882617.293
42,621012.690,7882163.113
43,621066.495,7882074.372
44,621055.385,7881968.193
45,621099.483,7881914.568
46,621252.246,7881892.955
47,621356.825,7881865.453
48,621534.941,7881586.601
49,621282.803,7881539.194
50,621072.923,7881642.936
51,620981.866,7881328.212
52,620957.568,7881107.353
53,621034.898,7880931.708
54,621079.053,7880583.509
55,620471.596,7880685.560
56,619988.633,7880559.859
57,619951.962,7880175.568
58,619977.805,7879999.571
59,619959.053,7879572.946
60,619921.329,7879479.489
61,620027.482,7879399.096
62,620039.351,7879190.482
63,620261.987,7879235.559
64,620326.846,7879070.996
65,620224.603,7878849.804
66,620215.157,7878689.955
67,620359.217,7878467.732
68,620583.471,7878237.439
69,620638.380,7878053.768
70,620840.801,7877967.822
71,621486.067,7877996.261
72,621886.495,7877918.933
73,622038.590,7877754.856
74,622119.523,7877441.799
75,622230.263,7877329.481
76,622314.110,7877298.005
77,622362.273,7877203.878
78,622461.488,7877206.412
79,622520.664,7877316.252
80,622655.427,7877350.536
81,622773.949,7877269.285
82,622842.830,7877019.026
83,622888.605,7876746.203
84,623091.575,7876736.037
85,623166.240,7876802.179
86,623268.157,7876755.676
87,623413.116,7876735.021
88,623438.220,7876856.374
89,623471.546,7876889.705
90,623534.190,7876869.679
91,623558.557,7876668.365
92,623667.823,7876550.236
93,623821.287,7876507.127
94,624108.479,7876362.664
95,624394.050,7876577.715
96,624614.268,7876791.292
97,624942.061,7876786.215
98,625121.275,7876697.415
99,625349.822,7876685.861
100,625557.847,7876751.066
101,625766.972,7876700.390
102,625801.136,7876767.833
103,625904.747,7876687.839
104,626039.430,7876728.562
105,626145.050,7876864.883
106,626345.130,7876979.387
107,626832.372,7876979.276
108,627017.731,7877154.741
109,627145.324,7877437.016
110,627200.198,7877727.564
111,627224.716,7878057.671
112,627212.568,7878262.455
113,627278.086,7878431.632
114,627283.566,7878567.278
115,627137.288,7878929.434
116,627210.540,7879048.625
117,627305.724,7879146.356
118,627420.002,7879100.125
119,627542.883,7879107.267
120,627558.365,7878902.627
121,627609.850,7878735.922
122,627558.695,7878560.876
123,627636.803,7878467.659
124,627825.222,7878496.995
125,628008.088,7878591.188
126,628047.078,7878889.965
127,628331.017,7879020.762
128,628693.150,7879014.057
129,628883.784,7878952.106
130,628887.907,7878846.902
131,629093.356,7878802.433
132,629221.602,7878666.056
133,629354.191,7878606.553
134,629321.214,7878378.384
135,629084.491,7878264.097
136,629073.069,7878119.927
137,629246.467,7878052.282
138,629094.255,7877772.243
139,628791.068,7877718.933
140,628660.323,7877561.875
141,628778.902,7877285.605
142,629131.175,7877252.538
143,629326.240,7877333.516
144,629507.899,7877235.181
145,629487.680,7876937.891
146,629410.994,7876725.086
147,629226.921,7876614.280
148,628993.353,7876647.016
149,628770.442,7876616.356
150,628328.392,7876694.957
151,628196.687,7876703.592
152,628100.941,7876653.768
153,628033.464,7876663.760
154,627950.149,7876636.813
155,627830.807,7876636.172
156,627781.186,7876610.492
157,627694.559,7876588.047
158,627551.951,7876411.173
159,627509.887,7876427.985
160,627328.246,7876426.801
161,627333.163,7876299.203
162,627276.908,7876088.025
163,627209.395,7876024.382
164,627109.543,7876008.295
165,626896.883,7876165.249
166,626742.891,7876254.247
167,626402.280,7875946.289
168,626259.426,7875952.549
169,626211.365,7876041.497
170,626236.294,7876187.691
171,626168.818,7876170.179
172,625845.546,7875786.049
173,625419.866,7875934.080
174,624986.788,7875963.993
175,625009.816,7875806.047
176,624696.280,7875703.035
177,624482.208,7875821.361
178,624138.674,7875794.121
179,623806.601,7875869.241
180,623532.133,7876019.814
181,623471.183,7875824.994
182,623161.483,7875652.207
183,623102.567,7875374.797
184,623807.961,7874974.042
185,623869.869,7874205.773
186,623596.979,7873595.196
187,622876.876,7873524.138
188,622729.034,7873644.147
189,622598.630,7874361.824
190,622009.177,7874443.123
191,621972.596,7874012.594
192,621722.313,7873971.231
193,621557.488,7873562.140
194,621531.254,7872790.914
195,621702.704,7872005.660
196,622074.456,7871894.257
197,622543.031,7872111.301
198,622681.236,7871652.526
199,622280.701,7871661.117
200,622424.885,7871238.106
201,622576.691,7870449.008
202,622863.149,7870234.443
203,622769.407,7868972.057
204,623555.088,7869172.532
205,623404.997,7868915.982
206,623278.540,7867937.009
207,622447.410,7867428.377
208,622436.084,7867176.667
209,622803.572,7867067.254
210,622814.753,7866910.090
211,623165.073,7866755.431
212,623436.392,7866512.954
213,623548.031,7865452.352
214,623694.014,7865089.112
215,623783.683,7865049.442
216,623928.706,7864919.418
217,624114.282,7864868.226
218,624081.856,7864779.161
219,624166.549,7864641.559
220,624235.428,7864460.986
221,624277.018,7864228.752
222,624224.526,7864114.478
223,624318.596,7864002.181
224,624295.227,7863779.791
225,624530.167,7863595.624
226,624552.686,7863216.002
227,624626.022,7863122.168
228,624669.757,7862972.340
229,624798.060,7862837.258
230,624877.591,7862690.792
231,625082.220,7862527.250
232,625587.657,7862605.052
233,625685.236,7862161.233
234,626042.040,7861771.022
235,625823.121,7861353.781
236,625710.993,7861357.331
237,625573.024,7861300.333
238,625457.390,7861324.021
239,625012.413,7861559.137
240,624807.593,7861591.506
241,624263.899,7861470.068
242,624090.148,7861328.412
243,623936.096,7861391.269
244,624011.950,7861814.039
245,624029.321,7861979.731
246,624233.558,7862244.545
247,624450.472,7862463.166
248,624065.112,7862589.995
249,623969.674,7862675.421
250,623819.245,7862490.950
251,623696.288,7862465.568
252,623667.492,7862641.195
253,623588.329,7862827.745
254,623464.863,7862737.372
255,623351.555,7862612.631
256,623015.419,7862744.505
257,622815.968,7862861.950
258,622574.846,7862873.079
259,622355.070,7863051.120
260,622187.416,7863220.485
261,622317.223,7863433.690
262,622519.396,7863502.366
263,622647.941,7863400.186
264,622828.498,7863383.683
265,622857.378,7863488.631
266,622794.664,7863628.045
267,622910.556,7863698.299
268,623010.874,7863768.400
269,623168.590,7863866.070
270,623362.878,7863994.264
271,623170.374,7864044.340
272,622918.188,7864073.013
273,622773.114,7864030.291
274,622601.331,7863870.472
275,622385.175,7863730.056
276,622214.776,7863534.126
277,621883.706,7863418.281
278,621635.258,7863386.858
279,621318.568,7863651.950
280,620944.004,7863804.294
281,620818.800,7863972.123
282,620665.711,7864104.942
283,620354.675,7863937.458
284,620050.542,7863964.176
285,619892.873,7864477.031
286,620243.038,7864713.757
287,620153.090,7864825.021
288,619881.093,7864848.548
289,619835.117,7865081.232
290,620109.755,7865109.164
291,620107.830,7865531.903
292,620287.468,7865640.216
293,620335.501,7866202.275
294,620543.078,7866261.428
295,620655.344,7866393.552
296,620742.002,7866684.284
297,620048.111,7866863.196
298,619739.344,7867558.815
299,620238.729,7867861.767
300,620114.820,7868045.088
301,619745.425,7867937.662
302,619783.310,7868721.589
303,619154.630,7868611.901
304,618982.797,7868773.414
305,618834.059,7868913.983
306,618909.259,7869033.506
307,618946.661,7869273.894
308,619294.971,7869169.210
309,619435.613,7869251.040
310,619560.880,7869482.162
311,619589.486,7869531.252
312,619846.103,7869832.830
313,619708.339,7869952.995
314,619874.392,7870195.757
315,619742.288,7870573.866
316,619634.173,7870676.441
317,619355.143,7870643.761
318,619091.178,7870884.863
319,618850.020,7871021.066
320,618548.021,7871396.172
321,618683.525,7871786.965
322,618703.858,7871906.575
323,618820.192,7871927.462
324,619014.071,7872070.709
325,619208.948,7872179.039
326,619372.838,7872143.820
327,619722.900,7872412.767
328,619769.383,7872487.052
329,619957.394,7872777.160
330,619629.339,7872895.182
331,619683.022,7873020.196
332,619666.477,7873178.527
333,619654.094,7873454.158
334,619569.769,7873574.982
335,619319.352,7873691.378
336,619350.718,7874057.423
337,619471.623,7874320.755
338,619546.760,7874552.512
339,619647.846,7874953.502
340,619537.344,7875136.035
341,619594.962,7875353.789
342,619834.907,7875491.915
343,620245.636,7875466.764
344,620572.707,7875468.804
345,620510.876,7875820.050
346,620419.079,7876054.660
347,620483.108,7876372.712
348,620301.838,7876523.374
349,620105.546,7876351.561
350,619889.887,7876148.922
351,619535.516,7876212.445
352,619117.550,7876145.876
353,618844.355,7876292.234
354,618772.580,7876634.449
355,618836.244,7876877.107
356,618948.238,7877049.776
357,619671.070,7877442.728
358,619899.918,7877432.943
359,619939.403,7877504.375
360,619761.385,7877610.376
361,619733.672,7877880.513
362,619554.896,7877796.317
363,619343.765,7877801.932
364,619372.565,7877972.651
365,619257.115,7878149.543
366,619285.697,7878237.544
367,619407.701,7878296.287
368,619242.142,7878407.826
369,619135.886,7878363.730
370,619006.334,7878413.002
371,618987.549,7878662.333
372,618878.469,7878614.739
373,618708.003,7878747.609
374,618638.843,7878913.742
375,618537.111,7878877.038
376,618479.863,7878748.779
377,618372.628,7878838.971
378,618372.107,7879239.518
379,618135.347,7879336.707
380,618090.224,7879556.713
381,618220.569,7879650.359
382,618210.331,7879861.944
383,618466.303,7879934.369
384,618534.402,7880047.527
385,618700.683,7880022.894
386,618773.744,7880173.220
387,618920.859,7880183.969
388,619011.813,7880138.262
389,619060.175,7880136.675
390,619082.507,7880240.451
391,619168.108,7880324.911
392,619187.940,7880417.120
393,619157.843,7880436.212
394,619061.170,7880303.229
395,618966.865,7880299.044
396,618929.463,7880391.196
397,618792.721,7880406.279
398,618741.056,7880372.533
399,618665.756,7880412.722
400,618615.891,7880487.604
401,618495.155,7880507.236
402,618366.594,7880394.686
403,618205.679,7880336.264
404,618106.298,7880364.835
405,618015.478,7880416.976
406,617900.937,7880344.474
407,617769.443,7880331.261
408,617720.189,7880391.000
409,617768.402,7880499.284
410,617691.750,7880579.378
411,617585.665,7880616.535
412,617473.584,7880596.901
413,617434.534,7880724.807
414,617371.747,7880736.209
415,617315.533,7880818.607
416,617373.398,7880972.705
417,617495.955,7881036.528
418,617503.520,7881211.598
419,617558.668,7881263.249
420,617642.519,7881437.449
421,617500.896,7881502.163
422,617517.012,7881603.413
423,617651.499,7881719.317
424,617787.108,7881722.438
425,617796.043,7881673.643
426,617948.971,7881639.636
427,618023.716,7881664.105
428,618118.527,7881548.237
429,618111.068,7881373.327
430,618019.756,7881290.214
431,617976.639,7881123.013
