vertice,x,y
0,599703.083,7851396.897
1,599834.284,7851218.660
2,599942.976,7850634.726
3,600187.406,7850505.772
4,600099.142,7850947.053
5,600221.290,7850974.265
6,600370.700,7850824.808
7,600492.921,7850770.566
8,600683.075,7850566.873
9,600764.571,7850627.951
10,600825.589,7850593.967
11,600907.065,7850689.019
12,601212.668,7850648.355
13,601149.594,7850501.810
14,601299.884,7850490.923
15,601393.043,7850495.918
16,601496.109,7850461.270
17,601486.672,7850410.170
18,601496.388,7850344.542
19,601623.493,7850356.958
20,601612.435,7850406.766
21,601512.893,7850481.401
22,601526.389,7850533.225
23,601429.036,7850595.931
24,601501.938,7850606.608
25,601595.450,7850611.522
26,601719.007,7850524.435
27,601753.135,7850543.182
28,601807.829,7850627.209
29,601841.247,7850626.513
30,601851.129,7850631.116
31,601889.083,7850591.271
32,601930.873,7850609.922
33,601984.486,7850623.530
34,602027.373,7850599.907
35,602080.798,7850549.297
36,601734.939,7850393.946
37,601798.202,7850273.603
38,601837.351,7850220.541
39,601786.738,7850192.125
40,601756.801,7850175.624
41,601825.433,7850102.652
42,601932.679,7850150.707
43,601960.950,7850099.292
44,601723.966,7850034.408
45,601831.808,7849907.533
46,601682.772,7849835.924
47,601731.374,7849775.703
48,601974.479,7849764.144
49,602047.862,7849684.157
50,601973.150,7849616.186
51,601827.749,7849645.423
52,601767.070,7849418.193
53,601710.788,7849201.385
54,601935.710,7849404.873
55,602260.062,7849087.510
56,602781.019,7848873.175
57,602973.097,7848370.928
58,603117.881,7848330.876
59,603326.046,7848165.858
60,603252.097,7848033.600
61,603151.373,7847753.313
62,602644.520,7847553.433
63,602578.278,7847408.388
64,602254.414,7847306.052
65,602205.257,7847127.427
66,602115.983,7846613.104
67,601987.423,7846593.420
68,601879.279,7846571.311
69,601862.165,7846413.842
70,601917.558,7846288.364
72,601149.725,7845928.338
73,601019.561,7845640.110
74,601144.053,7845730.814
75,601625.009,7845398.837
77,601772.823,7844816.941
78,601718.690,7844777.692
79,601669.426,7844796.526
80,601629.667,7844793.488
81,601604.928,7844788.795
82,601572.827,7844789.448
83,601539.602,7844789.165
84,601513.707,7844790.235
85,601493.983,7844797.130
86,601485.440,7844800.805
87,601462.382,7844818.262
88,601457.485,7844822.672
89,601451.708,7844826.736
90,601439.706,7844844.026
91,601426.850,7844888.085
92,601424.526,7844906.568
93,601415.068,7844947.874
94,601414.790,7845024.843
95,601353.556,7844999.842
96,601332.698,7844972.359
97,601312.743,7844958.437
98,601265.338,7844931.080
99,601254.897,7844898.939
100,601256.955,7844874.782
101,601268.037,7844850.794
102,601246.242,7844813.157
103,601243.766,7844797.456
104,601216.701,7844779.559
105,601225.979,7844758.619
106,601233.327,7844738.989
107,601233.327,7844738.989
108,601251.768,7844700.579
109,601267.430,7844663.848
110,601276.436,7844643.858
111,601288.015,7844632.310
112,601313.716,7844626.100
113,601330.307,7844610.633
